| end of epoch   1 | time: 42.57s | valid loss 30.36 | valid ppl 15343429410399.67
| end of epoch   2 | time: 42.37s | valid loss 51.20 | valid ppl 17218075970409175449600.00
| end of epoch   3 | time: 42.38s | valid loss 12.52 | valid ppl 273882.80
| end of epoch   4 | time: 42.49s | valid loss 10.23 | valid ppl 27726.56
| end of epoch   5 | time: 42.55s | valid loss  7.44 | valid ppl  1698.98
| end of epoch   6 | time: 42.73s | valid loss  7.67 | valid ppl  2144.94
| end of epoch   7 | time: 42.65s | valid loss  6.54 | valid ppl   692.93
| end of epoch   8 | time: 42.64s | valid loss  6.25 | valid ppl   516.46
| end of epoch   9 | time: 42.67s | valid loss  6.06 | valid ppl   427.33
| end of epoch  10 | time: 42.66s | valid loss  5.95 | valid ppl   384.73
| end of epoch  11 | time: 42.63s | valid loss  5.86 | valid ppl   350.89
| end of epoch  12 | time: 42.65s | valid loss  5.77 | valid ppl   320.55
| end of epoch  13 | time: 42.68s | valid loss  5.74 | valid ppl   310.16
| end of epoch  14 | time: 42.65s | valid loss  5.66 | valid ppl   286.42
| end of epoch  15 | time: 42.65s | valid loss  5.64 | valid ppl   280.44
| end of epoch  16 | time: 42.64s | valid loss  5.59 | valid ppl   268.05
| end of epoch  17 | time: 42.66s | valid loss  5.56 | valid ppl   260.51
| end of epoch  18 | time: 42.67s | valid loss  5.55 | valid ppl   256.42
| end of epoch  19 | time: 42.65s | valid loss  5.53 | valid ppl   252.18
| end of epoch  20 | time: 42.69s | valid loss  5.48 | valid ppl   238.92
| end of epoch  21 | time: 42.67s | valid loss  5.48 | valid ppl   240.46
| end of epoch  22 | time: 42.64s | valid loss  5.38 | valid ppl   216.56
| end of epoch  23 | time: 42.69s | valid loss  5.39 | valid ppl   218.69
| end of epoch  24 | time: 42.64s | valid loss  5.34 | valid ppl   209.46
| end of epoch  25 | time: 42.67s | valid loss  5.34 | valid ppl   208.34
| end of epoch  26 | time: 42.67s | valid loss  5.34 | valid ppl   208.68
| end of epoch  27 | time: 42.64s | valid loss  5.30 | valid ppl   200.23
| end of epoch  28 | time: 42.66s | valid loss  5.30 | valid ppl   200.09
| end of epoch  29 | time: 42.67s | valid loss  5.30 | valid ppl   200.05
| end of epoch  30 | time: 42.69s | valid loss  5.30 | valid ppl   200.19
| end of epoch  31 | time: 42.65s | valid loss  5.27 | valid ppl   194.38
| end of epoch  32 | time: 42.68s | valid loss  5.27 | valid ppl   194.06
| end of epoch  33 | time: 42.72s | valid loss  5.27 | valid ppl   194.20
| end of epoch  34 | time: 42.66s | valid loss  5.26 | valid ppl   192.19
| end of epoch  35 | time: 42.70s | valid loss  5.26 | valid ppl   192.05
| end of epoch  36 | time: 42.78s | valid loss  5.26 | valid ppl   191.98
| end of epoch  37 | time: 42.69s | valid loss  5.26 | valid ppl   191.89
| end of epoch  38 | time: 42.68s | valid loss  5.26 | valid ppl   191.82
| end of epoch  39 | time: 42.69s | valid loss  5.26 | valid ppl   191.75
| end of epoch  40 | time: 42.66s | valid loss  5.26 | valid ppl   191.71
