| end of epoch   1 | time: 42.59s | valid loss 45.83 | valid ppl 79832849217021919232.00
| end of epoch   2 | time: 42.41s | valid loss 25.48 | valid ppl 116597605748.12
| end of epoch   3 | time: 42.39s | valid loss 83.98 | valid ppl 2976650051828701631994748640946028544.00
| end of epoch   4 | time: 42.31s | valid loss 10.77 | valid ppl 47587.60
| end of epoch   5 | time: 42.44s | valid loss 10.89 | valid ppl 53437.66
| end of epoch   6 | time: 42.54s | valid loss  6.60 | valid ppl   738.38
| end of epoch   7 | time: 42.63s | valid loss  6.41 | valid ppl   605.17
| end of epoch   8 | time: 42.64s | valid loss 10.97 | valid ppl 58365.31
| end of epoch   9 | time: 42.59s | valid loss  6.59 | valid ppl   729.01
| end of epoch  10 | time: 42.59s | valid loss  6.08 | valid ppl   435.62
| end of epoch  11 | time: 42.65s | valid loss  6.05 | valid ppl   425.35
| end of epoch  12 | time: 42.63s | valid loss  6.04 | valid ppl   418.68
| end of epoch  13 | time: 42.63s | valid loss  6.03 | valid ppl   416.37
| end of epoch  14 | time: 42.60s | valid loss  6.02 | valid ppl   412.34
| end of epoch  15 | time: 42.64s | valid loss  6.01 | valid ppl   408.68
| end of epoch  16 | time: 42.60s | valid loss  6.01 | valid ppl   405.49
| end of epoch  17 | time: 42.59s | valid loss  6.00 | valid ppl   401.74
| end of epoch  18 | time: 42.63s | valid loss  5.98 | valid ppl   396.87
| end of epoch  19 | time: 42.60s | valid loss  5.98 | valid ppl   394.57
| end of epoch  20 | time: 42.60s | valid loss  5.97 | valid ppl   391.96
| end of epoch  21 | time: 42.61s | valid loss  5.96 | valid ppl   389.47
| end of epoch  22 | time: 42.59s | valid loss  5.96 | valid ppl   386.41
| end of epoch  23 | time: 42.63s | valid loss  5.95 | valid ppl   383.01
| end of epoch  24 | time: 42.62s | valid loss  5.94 | valid ppl   379.50
| end of epoch  25 | time: 42.63s | valid loss  5.94 | valid ppl   378.55
| end of epoch  26 | time: 42.65s | valid loss  5.93 | valid ppl   375.34
| end of epoch  27 | time: 42.64s | valid loss  5.92 | valid ppl   373.79
| end of epoch  28 | time: 42.65s | valid loss  5.92 | valid ppl   372.13
| end of epoch  29 | time: 42.61s | valid loss  5.91 | valid ppl   367.23
| end of epoch  30 | time: 42.63s | valid loss  5.91 | valid ppl   368.46
| end of epoch  31 | time: 42.57s | valid loss  5.88 | valid ppl   358.99
| end of epoch  32 | time: 42.63s | valid loss  5.88 | valid ppl   358.82
| end of epoch  33 | time: 42.63s | valid loss  5.88 | valid ppl   357.98
| end of epoch  34 | time: 42.63s | valid loss  5.88 | valid ppl   357.77
| end of epoch  35 | time: 42.62s | valid loss  5.88 | valid ppl   357.04
| end of epoch  36 | time: 42.66s | valid loss  5.88 | valid ppl   356.24
| end of epoch  37 | time: 42.64s | valid loss  5.87 | valid ppl   355.29
| end of epoch  38 | time: 42.65s | valid loss  5.87 | valid ppl   355.38
| end of epoch  39 | time: 42.59s | valid loss  5.87 | valid ppl   353.82
| end of epoch  40 | time: 42.61s | valid loss  5.87 | valid ppl   353.97
