| end of epoch   1 | time: 42.64s | valid loss 28.70 | valid ppl 2916870348559.89
| end of epoch   2 | time: 42.34s | valid loss 25.90 | valid ppl 176310323303.46
| end of epoch   3 | time: 42.36s | valid loss 19.10 | valid ppl 197573049.18
| end of epoch   4 | time: 42.43s | valid loss 21.75 | valid ppl 2800096255.54
| end of epoch   5 | time: 42.46s | valid loss  8.03 | valid ppl  3065.72
| end of epoch   6 | time: 42.63s | valid loss  7.65 | valid ppl  2107.50
| end of epoch   7 | time: 42.58s | valid loss  7.32 | valid ppl  1511.24
| end of epoch   8 | time: 42.61s | valid loss  6.92 | valid ppl  1013.52
| end of epoch   9 | time: 42.59s | valid loss  6.74 | valid ppl   841.74
| end of epoch  10 | time: 42.61s | valid loss  6.64 | valid ppl   766.31
| end of epoch  11 | time: 42.58s | valid loss  6.45 | valid ppl   632.48
| end of epoch  12 | time: 42.63s | valid loss  6.20 | valid ppl   492.06
| end of epoch  13 | time: 42.60s | valid loss  6.18 | valid ppl   482.91
| end of epoch  14 | time: 42.61s | valid loss  6.17 | valid ppl   480.26
| end of epoch  15 | time: 42.60s | valid loss  6.11 | valid ppl   449.03
| end of epoch  16 | time: 42.59s | valid loss  6.07 | valid ppl   431.21
| end of epoch  17 | time: 42.63s | valid loss  5.91 | valid ppl   369.81
| end of epoch  18 | time: 42.62s | valid loss  5.82 | valid ppl   337.49
| end of epoch  19 | time: 42.59s | valid loss  5.96 | valid ppl   386.45
| end of epoch  20 | time: 42.57s | valid loss  5.58 | valid ppl   265.90
| end of epoch  21 | time: 42.59s | valid loss  5.57 | valid ppl   261.58
| end of epoch  22 | time: 42.60s | valid loss  5.55 | valid ppl   258.00
| end of epoch  23 | time: 42.62s | valid loss  5.54 | valid ppl   253.77
| end of epoch  24 | time: 42.64s | valid loss  5.53 | valid ppl   252.45
| end of epoch  25 | time: 42.61s | valid loss  5.52 | valid ppl   250.60
| end of epoch  26 | time: 42.59s | valid loss  5.51 | valid ppl   247.99
| end of epoch  27 | time: 42.58s | valid loss  5.50 | valid ppl   245.43
| end of epoch  28 | time: 42.58s | valid loss  5.50 | valid ppl   243.85
| end of epoch  29 | time: 42.60s | valid loss  5.49 | valid ppl   242.13
| end of epoch  30 | time: 42.59s | valid loss  5.49 | valid ppl   242.48
| end of epoch  31 | time: 42.57s | valid loss  5.42 | valid ppl   225.12
| end of epoch  32 | time: 42.59s | valid loss  5.41 | valid ppl   224.19
| end of epoch  33 | time: 42.59s | valid loss  5.41 | valid ppl   223.90
| end of epoch  34 | time: 42.60s | valid loss  5.41 | valid ppl   223.75
| end of epoch  35 | time: 42.60s | valid loss  5.40 | valid ppl   222.42
| end of epoch  36 | time: 42.59s | valid loss  5.40 | valid ppl   221.39
| end of epoch  37 | time: 42.61s | valid loss  5.40 | valid ppl   221.38
| end of epoch  38 | time: 42.65s | valid loss  5.40 | valid ppl   220.78
| end of epoch  39 | time: 42.62s | valid loss  5.39 | valid ppl   220.11
| end of epoch  40 | time: 42.62s | valid loss  5.39 | valid ppl   219.52
