| end of epoch   1 | time: 42.52s | valid loss 71.96 | valid ppl 17877105992652135148700552921088.00
| end of epoch   2 | time: 42.38s | valid loss 27.26 | valid ppl 693231878077.82
| end of epoch   3 | time: 42.47s | valid loss 15.46 | valid ppl 5176348.79
| end of epoch   4 | time: 42.45s | valid loss 19.54 | valid ppl 304878446.20
| end of epoch   5 | time: 42.42s | valid loss  8.91 | valid ppl  7404.54
| end of epoch   6 | time: 42.45s | valid loss  8.49 | valid ppl  4853.09
| end of epoch   7 | time: 42.64s | valid loss  7.48 | valid ppl  1771.67
| end of epoch   8 | time: 42.70s | valid loss  6.65 | valid ppl   772.13
| end of epoch   9 | time: 42.72s | valid loss  6.61 | valid ppl   743.45
| end of epoch  10 | time: 42.71s | valid loss  6.26 | valid ppl   521.30
| end of epoch  11 | time: 42.73s | valid loss  6.11 | valid ppl   449.56
| end of epoch  12 | time: 42.74s | valid loss  6.02 | valid ppl   412.74
| end of epoch  13 | time: 42.74s | valid loss  5.88 | valid ppl   358.85
| end of epoch  14 | time: 42.73s | valid loss  5.76 | valid ppl   318.65
| end of epoch  15 | time: 42.74s | valid loss  5.72 | valid ppl   306.30
| end of epoch  16 | time: 42.72s | valid loss  5.83 | valid ppl   341.65
| end of epoch  17 | time: 42.71s | valid loss  5.45 | valid ppl   233.28
| end of epoch  18 | time: 42.73s | valid loss  5.44 | valid ppl   230.94
| end of epoch  19 | time: 42.73s | valid loss  5.42 | valid ppl   225.83
| end of epoch  20 | time: 42.72s | valid loss  5.40 | valid ppl   222.34
| end of epoch  21 | time: 42.72s | valid loss  5.41 | valid ppl   223.08
| end of epoch  22 | time: 42.72s | valid loss  5.33 | valid ppl   206.66
| end of epoch  23 | time: 42.73s | valid loss  5.33 | valid ppl   205.63
| end of epoch  24 | time: 42.75s | valid loss  5.32 | valid ppl   204.36
| end of epoch  25 | time: 42.75s | valid loss  5.32 | valid ppl   204.36
| end of epoch  26 | time: 42.73s | valid loss  5.30 | valid ppl   199.94
| end of epoch  27 | time: 42.77s | valid loss  5.30 | valid ppl   199.38
| end of epoch  28 | time: 42.72s | valid loss  5.29 | valid ppl   198.92
| end of epoch  29 | time: 42.73s | valid loss  5.29 | valid ppl   198.73
| end of epoch  30 | time: 42.75s | valid loss  5.29 | valid ppl   198.44
| end of epoch  31 | time: 42.76s | valid loss  5.29 | valid ppl   198.49
| end of epoch  32 | time: 42.73s | valid loss  5.28 | valid ppl   196.91
| end of epoch  33 | time: 42.73s | valid loss  5.28 | valid ppl   196.77
| end of epoch  34 | time: 42.72s | valid loss  5.28 | valid ppl   196.62
| end of epoch  35 | time: 42.75s | valid loss  5.28 | valid ppl   196.58
| end of epoch  36 | time: 42.76s | valid loss  5.28 | valid ppl   196.45
| end of epoch  37 | time: 42.76s | valid loss  5.28 | valid ppl   196.54
| end of epoch  38 | time: 42.72s | valid loss  5.28 | valid ppl   196.17
| end of epoch  39 | time: 42.75s | valid loss  5.28 | valid ppl   196.21
| end of epoch  40 | time: 42.72s | valid loss  5.28 | valid ppl   196.18
