| end of epoch   1 | time: 42.54s | valid loss 35.81 | valid ppl 3548284944015670.00
| end of epoch   2 | time: 42.32s | valid loss 23.49 | valid ppl 15960123846.50
| end of epoch   3 | time: 42.38s | valid loss 24.32 | valid ppl 36429629304.80
| end of epoch   4 | time: 42.54s | valid loss  8.23 | valid ppl  3766.08
| end of epoch   5 | time: 42.67s | valid loss  7.70 | valid ppl  2205.17
| end of epoch   6 | time: 42.69s | valid loss  6.59 | valid ppl   730.22
| end of epoch   7 | time: 42.66s | valid loss  6.47 | valid ppl   647.83
| end of epoch   8 | time: 42.70s | valid loss  6.27 | valid ppl   529.53
| end of epoch   9 | time: 42.68s | valid loss  6.03 | valid ppl   416.40
| end of epoch  10 | time: 42.67s | valid loss  6.07 | valid ppl   434.19
| end of epoch  11 | time: 42.65s | valid loss  5.53 | valid ppl   252.82
| end of epoch  12 | time: 42.69s | valid loss  5.49 | valid ppl   243.43
| end of epoch  13 | time: 42.68s | valid loss  5.47 | valid ppl   238.61
| end of epoch  14 | time: 42.69s | valid loss  5.47 | valid ppl   236.37
| end of epoch  15 | time: 42.70s | valid loss  5.45 | valid ppl   232.44
| end of epoch  16 | time: 42.69s | valid loss  5.42 | valid ppl   225.67
| end of epoch  17 | time: 42.73s | valid loss  5.39 | valid ppl   218.49
| end of epoch  18 | time: 42.66s | valid loss  5.42 | valid ppl   226.37
| end of epoch  19 | time: 42.67s | valid loss  5.33 | valid ppl   206.50
| end of epoch  20 | time: 42.67s | valid loss  5.32 | valid ppl   205.03
| end of epoch  21 | time: 42.67s | valid loss  5.31 | valid ppl   202.82
| end of epoch  22 | time: 42.70s | valid loss  5.32 | valid ppl   204.63
| end of epoch  23 | time: 42.66s | valid loss  5.27 | valid ppl   194.81
| end of epoch  24 | time: 42.72s | valid loss  5.27 | valid ppl   195.02
| end of epoch  25 | time: 42.68s | valid loss  5.24 | valid ppl   187.96
| end of epoch  26 | time: 42.69s | valid loss  5.24 | valid ppl   187.88
| end of epoch  27 | time: 42.69s | valid loss  5.23 | valid ppl   187.44
| end of epoch  28 | time: 42.68s | valid loss  5.23 | valid ppl   187.42
| end of epoch  29 | time: 42.68s | valid loss  5.23 | valid ppl   187.18
| end of epoch  30 | time: 42.69s | valid loss  5.24 | valid ppl   187.94
| end of epoch  31 | time: 42.67s | valid loss  5.22 | valid ppl   184.68
| end of epoch  32 | time: 42.69s | valid loss  5.22 | valid ppl   184.48
| end of epoch  33 | time: 42.71s | valid loss  5.22 | valid ppl   184.54
| end of epoch  34 | time: 42.65s | valid loss  5.21 | valid ppl   183.62
| end of epoch  35 | time: 42.70s | valid loss  5.21 | valid ppl   183.43
| end of epoch  36 | time: 42.68s | valid loss  5.21 | valid ppl   183.44
| end of epoch  37 | time: 42.65s | valid loss  5.21 | valid ppl   183.34
| end of epoch  38 | time: 42.67s | valid loss  5.21 | valid ppl   183.34
| end of epoch  39 | time: 42.66s | valid loss  5.21 | valid ppl   183.32
| end of epoch  40 | time: 42.70s | valid loss  5.21 | valid ppl   183.32
