| end of epoch   1 | time: 42.52s | valid loss 38.30 | valid ppl 43099897068843072.00
| end of epoch   2 | time: 42.37s | valid loss 61.79 | valid ppl 685671380108269842887344128.00
| end of epoch   3 | time: 42.49s | valid loss  8.28 | valid ppl  3957.63
| end of epoch   4 | time: 42.62s | valid loss  7.93 | valid ppl  2780.41
| end of epoch   5 | time: 42.70s | valid loss  7.87 | valid ppl  2615.18
| end of epoch   6 | time: 42.66s | valid loss  7.41 | valid ppl  1645.15
| end of epoch   7 | time: 42.70s | valid loss  6.71 | valid ppl   823.51
| end of epoch   8 | time: 42.72s | valid loss  6.35 | valid ppl   571.19
| end of epoch   9 | time: 42.76s | valid loss  6.23 | valid ppl   508.64
| end of epoch  10 | time: 42.75s | valid loss  6.07 | valid ppl   433.89
| end of epoch  11 | time: 42.75s | valid loss  5.97 | valid ppl   391.28
| end of epoch  12 | time: 42.70s | valid loss  5.91 | valid ppl   367.73
| end of epoch  13 | time: 42.72s | valid loss  5.88 | valid ppl   357.30
| end of epoch  14 | time: 42.68s | valid loss  5.76 | valid ppl   318.26
| end of epoch  15 | time: 42.72s | valid loss  5.77 | valid ppl   318.95
| end of epoch  16 | time: 42.65s | valid loss  5.49 | valid ppl   241.58
| end of epoch  17 | time: 42.69s | valid loss  5.47 | valid ppl   237.71
| end of epoch  18 | time: 42.70s | valid loss  5.45 | valid ppl   233.61
| end of epoch  19 | time: 42.70s | valid loss  5.44 | valid ppl   230.45
| end of epoch  20 | time: 42.67s | valid loss  5.43 | valid ppl   227.55
| end of epoch  21 | time: 42.67s | valid loss  5.43 | valid ppl   227.42
| end of epoch  22 | time: 42.69s | valid loss  5.41 | valid ppl   224.35
| end of epoch  23 | time: 42.69s | valid loss  5.40 | valid ppl   222.40
| end of epoch  24 | time: 42.71s | valid loss  5.41 | valid ppl   223.07
| end of epoch  25 | time: 42.68s | valid loss  5.34 | valid ppl   208.16
| end of epoch  26 | time: 42.69s | valid loss  5.33 | valid ppl   205.83
| end of epoch  27 | time: 42.69s | valid loss  5.33 | valid ppl   206.30
| end of epoch  28 | time: 42.71s | valid loss  5.31 | valid ppl   201.68
| end of epoch  29 | time: 42.71s | valid loss  5.31 | valid ppl   201.35
| end of epoch  30 | time: 42.73s | valid loss  5.30 | valid ppl   200.87
| end of epoch  31 | time: 42.82s | valid loss  5.30 | valid ppl   200.72
| end of epoch  32 | time: 42.70s | valid loss  5.30 | valid ppl   200.49
| end of epoch  33 | time: 42.70s | valid loss  5.30 | valid ppl   200.51
| end of epoch  34 | time: 42.68s | valid loss  5.29 | valid ppl   198.46
| end of epoch  35 | time: 42.71s | valid loss  5.29 | valid ppl   198.83
| end of epoch  36 | time: 42.68s | valid loss  5.29 | valid ppl   198.29
| end of epoch  37 | time: 42.74s | valid loss  5.29 | valid ppl   198.27
| end of epoch  38 | time: 42.75s | valid loss  5.29 | valid ppl   198.25
| end of epoch  39 | time: 42.75s | valid loss  5.29 | valid ppl   198.31
| end of epoch  40 | time: 42.70s | valid loss  5.29 | valid ppl   197.58
